ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
201920,CETDA05001,SCUOLA SECONDARIA II GRADO,5,1,16,8
201920,SV1M00400G,SCUOLA SECONDARIA I GRADO,2,2,25,30
201920,GE1E01100C,SCUOLA PRIMARIA,2,2,23,20
201920,VI1E00300V,SCUOLA PRIMARIA,1,1,9,9
201920,COPSI65000,SCUOLA SECONDARIA II GRADO,1,1,9,2
201920,NA1MTL500Q,SCUOLA SECONDARIA I GRADO,3,1,8,5
201920,MIPSO8500I,SCUOLA SECONDARIA II GRADO,3,1,19,1
201920,BGPS00500D,SCUOLA SECONDARIA II GRADO,3,1,10,10
201920,SA1E01300T,SCUOLA PRIMARIA,3,2,22,23
201920,NA1E05500D,SCUOLA PRIMARIA,3,2,18,22
201920,PDPL02500A,SCUOLA SECONDARIA II GRADO,2,1,1,9
201920,MIPM0O500U,SCUOLA SECONDARIA II GRADO,2,1,10,4
201920,NA1E20200P,SCUOLA PRIMARIA,3,1,6,4
201920,NA1E24000D,SCUOLA PRIMARIA,2,1,2,3
201920,BL1E00200B,SCUOLA PRIMARIA,4,2,12,18
201920,TV1E00900E,SCUOLA PRIMARIA,1,1,8,13
201920,MI1E047001,SCUOLA PRIMARIA,5,3,37,28
201920,BS1M00700N,SCUOLA SECONDARIA I GRADO,3,1,11,10
201920,SV1E00400A,SCUOLA PRIMARIA,5,1,7,11
201920,NA1E136001,SCUOLA PRIMARIA,3,1,10,7
201920,PATD00500A,SCUOLA SECONDARIA II GRADO,3,1,1,0
201920,BG1M01300C,SCUOLA SECONDARIA I GRADO,2,5,72,66
201920,GE1E013004,SCUOLA PRIMARIA,1,1,5,10
201920,TV1M00500C,SCUOLA SECONDARIA I GRADO,2,1,0,2
201920,RN1M02000L,SCUOLA SECONDARIA I GRADO,3,4,58,44
201920,RM1E00400G,SCUOLA PRIMARIA,4,1,15,8
201920,VT1E00400N,SCUOLA PRIMARIA,3,1,10,3
201920,BGTD105006,SCUOLA SECONDARIA II GRADO,4,1,1,1
201920,LTPSO3500F,SCUOLA SECONDARIA II GRADO,5,1,6,2
201920,CETD15500D,SCUOLA SECONDARIA II GRADO,2,1,3,8
201920,RM1E12900R,SCUOLA PRIMARIA,5,1,19,10
201920,VR1E016009,SCUOLA PRIMARIA,3,1,0,15
201920,VR1M01500P,SCUOLA SECONDARIA I GRADO,1,3,31,27
201920,LE1E004006,SCUOLA PRIMARIA,4,1,9,8
201920,RM1M082002,SCUOLA SECONDARIA I GRADO,1,1,12,18
201920,RM1E08800Q,SCUOLA PRIMARIA,3,1,13,12
201920,CO1E01000E,SCUOLA PRIMARIA,5,2,25,10
201920,PO1E001001,SCUOLA PRIMARIA,5,1,14,11
201920,NARI11500A,SCUOLA SECONDARIA II GRADO,1,1,2,0
201920,NARHZ5500Q,SCUOLA SECONDARIA II GRADO,5,1,13,13
201920,MITD52500D,SCUOLA SECONDARIA II GRADO,1,1,14,2
201920,NAPC00500E,SCUOLA SECONDARIA II GRADO,2,1,10,6
201920,AGPSTP5000,SCUOLA SECONDARIA II GRADO,3,1,2,1
201920,PD1E00800L,SCUOLA PRIMARIA,4,1,7,12
201920,VVSD00500Q,SCUOLA SECONDARIA II GRADO,5,1,13,4
201920,CO1M00200R,SCUOLA SECONDARIA I GRADO,2,3,47,29
201920,RNPC015002,SCUOLA SECONDARIA II GRADO,4,1,13,10
201920,CEPS875001,SCUOLA SECONDARIA II GRADO,1,1,13,7
201920,PR1E001004,SCUOLA PRIMARIA,5,2,18,33
201920,BS1E003005,SCUOLA PRIMARIA,1,1,10,10
201920,LU1E002008,SCUOLA PRIMARIA,2,1,18,8
201920,RM1E02900X,SCUOLA PRIMARIA,3,1,9,17
201920,LETD04500D,SCUOLA SECONDARIA II GRADO,5,1,17,7
201920,VA1E01300Q,SCUOLA PRIMARIA,4,2,22,22
201920,SSPS02500V,SCUOLA SECONDARIA II GRADO,2,1,4,1
201920,SAPS11500B,SCUOLA SECONDARIA II GRADO,1,1,6,1
201920,RM1E064007,SCUOLA PRIMARIA,2,1,11,17
201920,TO1E016009,SCUOLA PRIMARIA,1,1,6,8
201920,BSPS88500T,SCUOLA SECONDARIA II GRADO,1,1,7,5
201920,NA1EM9500T,SCUOLA PRIMARIA,2,1,7,5
201920,ENRHA05008,SCUOLA SECONDARIA II GRADO,1,1,2,3
201920,RM1E11000Q,SCUOLA PRIMARIA,2,2,14,13
201920,RM1E14400V,SCUOLA PRIMARIA,4,1,9,6
201920,VITD02500R,SCUOLA SECONDARIA II GRADO,5,1,14,5
201920,APPS3R5004,SCUOLA SECONDARIA II GRADO,5,1,12,9
201920,TO1E054004,SCUOLA PRIMARIA,5,1,8,10
201920,NA1E09100L,SCUOLA PRIMARIA,3,1,11,12
201920,PETD06500C,SCUOLA SECONDARIA II GRADO,4,1,5,0
201920,NAPSF2500E,SCUOLA SECONDARIA II GRADO,1,1,5,5
201920,RM1E09800A,SCUOLA PRIMARIA,3,1,7,8
201920,MO1E00300C,SCUOLA PRIMARIA,1,2,33,22
201920,AL1E00100P,SCUOLA PRIMARIA,2,2,29,26
201920,VE1E005007,SCUOLA PRIMARIA,5,1,7,14
201920,SATD295005,SCUOLA SECONDARIA II GRADO,3,1,4,1
201920,RM1M11900B,SCUOLA SECONDARIA I GRADO,1,2,16,14
201920,VRPS055005,SCUOLA SECONDARIA II GRADO,5,2,38,10
201920,CORA025003,SCUOLA SECONDARIA II GRADO,1,1,15,5
201920,MI1E445002,SCUOLA PRIMARIA,3,2,23,35
201920,CA1E020006,SCUOLA PRIMARIA,3,1,10,16
201920,VB1E00300Q,SCUOLA PRIMARIA,3,1,15,13
201920,VARFS2500Z,SCUOLA SECONDARIA II GRADO,1,1,1,9
201920,LTPM02500Q,SCUOLA SECONDARIA II GRADO,5,1,9,5
201920,NATL0L500Q,SCUOLA SECONDARIA II GRADO,2,1,16,2
201920,BG1E021006,SCUOLA PRIMARIA,2,1,8,10
201920,CHTD035004,SCUOLA SECONDARIA II GRADO,3,1,8,4
201920,SRPS395007,SCUOLA SECONDARIA II GRADO,5,1,6,5
201920,RMPM00500N,SCUOLA SECONDARIA II GRADO,3,1,7,9
201920,RM1E044002,SCUOLA PRIMARIA,1,2,16,12
201920,SATNV3500O,SCUOLA SECONDARIA II GRADO,3,1,1,0
201920,METDP0500I,SCUOLA SECONDARIA II GRADO,2,1,3,0
201920,NO1E00300Q,SCUOLA PRIMARIA,2,2,17,32
201920,NA1EAN500C,SCUOLA PRIMARIA,5,1,5,3
201920,VRPS09500G,SCUOLA SECONDARIA II GRADO,3,1,14,3
201920,RM1E21500Q,SCUOLA PRIMARIA,2,1,8,2
