ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
201516,SATDFM500D,SCUOLA SECONDARIA II GRADO,1,9,9,0,0,0
201516,NATL175003,SCUOLA SECONDARIA II GRADO,5,41,41,0,0,0
201516,RM1E073002,SCUOLA PRIMARIA,2,48,45,3,2,1
201516,GE1E03600R,SCUOLA PRIMARIA,1,16,16,0,0,0
201516,BG1E028001,SCUOLA PRIMARIA,1,29,29,0,0,0
201516,MI1E11800T,SCUOLA PRIMARIA,3,24,24,0,0,0
201516,MI1E068002,SCUOLA PRIMARIA,4,18,18,0,0,0
201516,CE1E01800L,SCUOLA PRIMARIA,2,24,23,1,0,1
201516,RM1M129002,SCUOLA SECONDARIA I GRADO,1,19,18,1,0,1
201516,NO1E00300Q,SCUOLA PRIMARIA,2,44,43,1,0,1
201516,LCTDVP5000,SCUOLA SECONDARIA II GRADO,1,18,18,0,0,0
201516,MIPSQ55000,SCUOLA SECONDARIA II GRADO,1,29,29,0,0,0
201516,RGRHDN500M,SCUOLA SECONDARIA II GRADO,1,13,11,2,2,0
201516,PAPC58500L,SCUOLA SECONDARIA II GRADO,4,25,25,0,0,0
201516,CEPL015005,SCUOLA SECONDARIA II GRADO,5,24,24,0,0,0
201516,PA1E034009,SCUOLA PRIMARIA,1,16,16,0,0,0
201516,FIPC035006,SCUOLA SECONDARIA II GRADO,2,7,7,0,0,0
201516,BG1E01100G,SCUOLA PRIMARIA,1,30,30,0,0,0
201516,FR1E00400R,SCUOLA PRIMARIA,1,18,17,1,0,1
201516,TV1M00500C,SCUOLA SECONDARIA I GRADO,3,13,13,0,0,0
201516,MIPC275001,SCUOLA SECONDARIA II GRADO,2,16,16,0,0,0
201516,AN1E001009,SCUOLA PRIMARIA,4,16,15,1,0,1
201516,RAPL03500V,SCUOLA SECONDARIA II GRADO,3,5,5,0,0,0
201516,NAPS08500E,SCUOLA SECONDARIA II GRADO,2,11,11,0,0,0
201516,GO1MGQ500P,SCUOLA SECONDARIA I GRADO,1,10,10,0,0,0
201516,NA1E18300E,SCUOLA PRIMARIA,3,48,48,0,0,0
201516,NAPCFD500P,SCUOLA SECONDARIA II GRADO,4,4,4,0,0,0
201516,PA1M01900C,SCUOLA SECONDARIA I GRADO,3,59,59,0,0,0
201516,CE1E04000T,SCUOLA PRIMARIA,1,20,20,0,0,0
201516,NATD475007,SCUOLA SECONDARIA II GRADO,1,9,9,0,0,0
201516,BO1E012009,SCUOLA PRIMARIA,2,57,55,2,0,2
201516,TATB025007,SCUOLA SECONDARIA II GRADO,2,11,11,0,0,0
201516,MIPC16500D,SCUOLA SECONDARIA II GRADO,2,34,34,0,0,0
201516,NA1E23700N,SCUOLA PRIMARIA,3,27,27,0,0,0
201516,MI1E04900L,SCUOLA PRIMARIA,5,79,78,1,0,1
201516,BSRF06500X,SCUOLA SECONDARIA II GRADO,4,26,26,0,0,0
201516,NARH035007,SCUOLA SECONDARIA II GRADO,2,17,17,0,0,0
201516,RM1EA85002,SCUOLA PRIMARIA,1,8,8,0,0,0
201516,GERI015006,SCUOLA SECONDARIA II GRADO,5,57,53,4,0,4
201516,RCTD1B500I,SCUOLA SECONDARIA II GRADO,2,3,3,0,0,0
201516,TS1E001006,SCUOLA PRIMARIA,2,16,16,0,0,0
201516,SATD075006,SCUOLA SECONDARIA II GRADO,2,10,9,1,0,1
201516,NA1E70500N,SCUOLA PRIMARIA,4,15,10,5,4,1
201516,RM1E081001,SCUOLA PRIMARIA,3,15,14,1,0,1
201516,MI1E140003,SCUOLA PRIMARIA,1,73,73,0,0,0
201516,CE1E028007,SCUOLA PRIMARIA,3,17,17,0,0,0
201516,RM1E09500V,SCUOLA PRIMARIA,1,27,27,0,0,0
201516,NATF15500N,SCUOLA SECONDARIA II GRADO,5,179,171,8,1,7
201516,NO1E001004,SCUOLA PRIMARIA,5,24,20,4,1,3
201516,TORI46500C,SCUOLA SECONDARIA II GRADO,3,15,15,0,0,0
201516,RMPS135009,SCUOLA SECONDARIA II GRADO,1,7,7,0,0,0
