ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202122,CE1E045001,SCUOLA PRIMARIA,3,1,12,7
202122,PAPMRG500C,SCUOLA SECONDARIA II GRADO,3,1,3,6
202122,VAPS025007,SCUOLA SECONDARIA II GRADO,5,1,10,4
202122,PA1E034009,SCUOLA PRIMARIA,4,1,14,6
202122,MI1E062003,SCUOLA PRIMARIA,3,4,36,42
202122,FI1E01800A,SCUOLA PRIMARIA,3,1,5,8
202122,NA1E09500X,SCUOLA PRIMARIA,5,1,1,1
202122,RM1E12500D,SCUOLA PRIMARIA,4,1,6,4
202122,BGPMIZ500F,SCUOLA SECONDARIA II GRADO,2,1,4,6
202122,PCTD015006,SCUOLA SECONDARIA II GRADO,4,1,11,2
202122,FI1E03200L,SCUOLA PRIMARIA,4,1,10,7
202122,NATL0L500Q,SCUOLA SECONDARIA II GRADO,2,1,7,0
202122,MI1E08100C,SCUOLA PRIMARIA,3,1,8,9
202122,RM1E06300B,SCUOLA PRIMARIA,4,2,16,17
202122,VAPSQ4500H,SCUOLA SECONDARIA II GRADO,3,1,15,3
202122,PS1E00500V,SCUOLA PRIMARIA,4,1,12,5
202122,LCPC00500V,SCUOLA SECONDARIA II GRADO,2,1,2,5
202122,NA1E150007,SCUOLA PRIMARIA,3,1,5,7
202122,TO1E020001,SCUOLA PRIMARIA,5,1,12,13
202122,RMRFB3500L,SCUOLA SECONDARIA II GRADO,3,1,3,1
202122,NA1E214001,SCUOLA PRIMARIA,2,1,6,6
202122,CE1E06100V,SCUOLA PRIMARIA,4,1,6,8
202122,VA1E009004,SCUOLA PRIMARIA,2,3,37,23
202122,NA1E08900L,SCUOLA PRIMARIA,3,1,12,5
202122,PV1E007008,SCUOLA PRIMARIA,5,1,12,13
202122,NA1M03400N,SCUOLA SECONDARIA I GRADO,2,1,14,8
202122,LCTAB3500P,SCUOLA SECONDARIA II GRADO,4,1,4,4
202122,LI1E00400D,SCUOLA PRIMARIA,5,1,8,13
202122,NA1E13700R,SCUOLA PRIMARIA,3,1,8,3
202122,RE1E00500D,SCUOLA PRIMARIA,3,2,15,21
